Document Title;Authors;Author Affiliations;Publication Title;Date Added To Xplore;Publication Year;Volume;Issue;Start Page;End Page;Abstract;ISSN;ISBNs;DOI;Funding Information;PDF Link;Author Keywords;IEEE Terms;INSPEC Controlled Terms;INSPEC Non-Controlled Terms;Mesh_Terms;Article Citation Count;Patent Citation Count;Reference Count;License;Online Date;Issue Date;Meeting Date;Publisher;Document Identifier;;;;;;;;;;;
Knowledge Management using Gamification in Consulting Firms;"D. E. Y. Malingkas; W. Ce";"School of Information Systems; Bina Nusantara University;Information Systems Department;Jakarta;Indonesia;11480; School of Information Systems; Bina Nusantara University;Information Systems Department;Jakarta;Indonesia;11480";2020 International Conference on Information Management and Technology (ICIMTech);2-oct-20;2020;;;403;408;"The realization on importance of knowledge has led many organizations in developing or acquiring Knowledge Management Systems (KMS); For consulting firms where knowledge is considered as the core business; proper application of the KMS is essential for operation and consulting services. With the goal to increase the user engagement; boost performance; and improve quality service for customer satisfaction; the gamification is enforced as a method to enhance the KMS design by identifying the game elements required. Furthermore; consulting activities are categorized based on the knowledge management processes in this research to be matched to the corresponding game components. The result of the obtained transformed and stored information will be applied to the system in forms of gamified features that is illustrated onto the user performance and activity dashboard. This paper aims to point out how the utilization of gamification for knowledge management can benefit consulting firm's daily operation by implementing the gamified KMS.";;978-1-7281-7071-8;10.1109/ICIMTech50083.2020.9211118;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9211118;"Gamification;Knowledge Management System;Consulting Companies";"Knowledge management;Games;Companies;Documentation;Information systems";"consultancies;customer satisfaction;knowledge management;serious games (computing)";"gamification;consulting firms;knowledge management systems;consulting services;KMS design;gamified KMS;customer satisfaction;user performance;activity dashboard";;;;13;;2-oct-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
"The Methods; Benefits and Problems of The Interpretation of Data";"M. Islam; A. Hossain; R. Hasan; A. R. Soton";"School of Intelligent Technology and Engineering; Chongqing University of Science and Technology;Chongqing;China; School of Computer Science and Engineering; Chongqing University of Technology;Chongqing;China; School of Intelligent Technology and Engineering; Chongqing University of Science and Technology;Chongqing;China; School of Intelligent Technology and Engineering; Chongqing University of Science and Technology;Chongqing;China";2020 International Conference on Information Science and Communications Technologies (ICISCT);19-feb-21;2020;;;1;5;"Data analysis and interpretation have now taken center stage with the advent of the digital age and the sheer amount of data can be frightening. In fact; a Digital Universe study found that the total data supply in 2012 was 2.8 trillion gigabytes! Based on that amount of data alone; it is clear the calling card of any successful enterprise in today's global world will be the ability to analyze complex data; produce actionable insights and adapt to new market needs all at the speed of thought. Business dashboards are the digital age tools for big data. Capable of displaying key performance indicators (KPIs) for both quantitative and qualitative data analyses; they are ideal for making the fast-paced and data-driven market decisions that push today's industry leaders to sustainable success. Through the art of streamlined visual communication; data dashboards permit businesses to engage in real-time and informed decision making; and are key instruments in data interpretation. This research article based on methods; benefits and problems of the interpretation of data.";;978-1-7281-9969-6;10.1109/ICISCT50599.2020.9351400;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9351400;"Interpretation;Data;Visualization;Statistics;Analysis";"Data analysis;Visual communication;Decision making;Tools;Information age;Real-time systems;Business";"Big Data;business data processing;data analysis;data visualisation;decision making";"calling card;successful enterprise;global world;complex data;actionable insights;business dashboards;digital age tools;big data;key performance indicators;quantitative data analyses;qualitative data analyses;fast-paced data-driven market decisions;sustainable success;data dashboards;decision making;data interpretation;data analysis;center stage;digital universe study";;;;13;;19-feb-21;;;IEEE;IEEE Conferences;;;;;;;;;;;
Development of Wireless Soil Moisture Measurement and Recording Devices;"W. Srisongkram; P. Vimonthanasit; S. Wannachai; J. Thinnakorn; A. Yawootti";"Factory of Engineering and Architecture Rajamangala University of Technology Suvamabhumi;Nonthaburi;Thailand; Faculty of Engineering Rajamangala University of Technology LANNA;Chiangmai;Thailand; Faculty of Engineering Rajamangala University of Technology LANNA;Chiangmai;Thailand; Faculty of Engineering Rajamangala University of Technology LANNA;Chiangmai;Thailand; Faculty of Engineering Rajamangala University of Technology LANNA;Chiangmai;Thailand";"2021 18th International Conference on Electrical Engineering/Electronics; Computer; Telecommunications and Information Technology (ECTI-CON)";18-jun-21;2021;;;1142;1145;"This article is a development of soil moisture measurement systems of low-cost sensors installed in remote planting areas using Internet of Things (IoT). There are 3 sets of measurement systems that it separates installed in remote areas. The correlation equation is applied to convert the electric signal from measured the soil moisture by comparing soil moisture from the laboratory the gravimetric water content method. The soil moisture is measured continuously for 1 minute; every 30 minutes. When the data sent finish; the system work on sleep mode to save energy. The moisture value is calculated as the average data; then is sent to the storage system via a LoRaWAN wireless network. Three measured soil moisture values are sent to the memory card as well as keep into the google drive in the cloud system via the GSM wireless; and displayed on the NETPIE Dashboard. Furthermore; the energy from the solar system is employed in this measuring system having high-performance battery. Therefore; this automated instrumentation measurement of soil moisture content using IoT can be extremely useful determining plant growth; environmental; and agricultural applications and other applications.";;978-1-6654-0382-5;10.1109/ECTI-CON51831.2021.9454765;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9454765;"Low Cost Smart Farm;LoRaWAN;Soil Moisture Sensor";"Cloud computing;Wireless sensor networks;Power measurement;Soil measurements;Moisture measurement;Soil moisture;Area measurement";"agricultural engineering;agriculture;cellular radio;cloud computing;computerised monitoring;crops;energy conservation;Internet of Things;memory cards;moisture measurement;soil;wide area networks;wireless sensor networks";"remote planting areas;moisture value;storage system;cloud system;solar system;automated instrumentation measurement;wireless soil moisture measurement systems;recording devices;low-cost sensors;Internet of Things;IoT;correlation equation;electric signal;gravimetric water content method;energy save;LoRaWAN wireless network;memory card;google drive;GSM wireless;NETPIE Dashboard;high-performance battery;plant growth;agricultural applications;environmental application;time 1.0 min;time 30.0 min";;;;7;;18-jun-21;;;IEEE;IEEE Conferences;;;;;;;;;;;
A meta-model to develop learning ecosystems with support for knowledge discovery and decision-making processes;"A. Vázquez-Ingelmo; A. García-Holgado; F. J. García-Peñalvo; R. Therón";"University of Salamanca;Grupo de Investigación GRIAL; Dpto. de Informática y Automática;Salamanca;Spain; University of Salamanca;Grupo de Investigación GRIAL; Dpto. de Informática y Automática;Salamanca;Spain; University of Salamanca;Grupo de Investigación GRIAL; Dpto. de Informática y Automática;Salamanca;Spain; University of Salamanca;Grupo de Investigación GRIAL; Dpto. de Informática y Automática;Salamanca;Spain";2020 15th Iberian Conference on Information Systems and Technologies (CISTI);15-jul-20;2020;;;1;6;"There are software solutions to solve most of the problems related to information management in any company or institutions; but still; there is a problem for transforming information into knowledge. Technological ecosystems emerge as a solution to combine existing tools and human resources to solve different problems of knowledge management. In particular; when the ecosystem is focused on learning processes associated with knowledge are named learning ecosystems. The learning ecosystem metamodel defined in previous works solves several problems related to the definition and implementation of these solutions. However; there are still challenges associated with improving the analysis and visualization of information as a way to discover knowledge and support decision making processes. On the other hand; there is a metamodel proposal to define customized dashboards for supporting decision-making processes. This proposal aims to integrate both metamodels as a way to improve the definition of learning ecosystems.";2166-0727;978-989-54659-0-3;10.23919/CISTI49556.2020.9140986;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9140986;"dashboard;software ecosystems;MDA;metamodel;software engineering;learning ecosystem;knowledge management;decision-makers";"Ecosystems;Biological system modeling;Unified modeling language;Tools;Software;Knowledge management;Decision making";"computer aided instruction;data visualisation;decision making;knowledge management";"knowledge discovery;software solutions;information management;technological ecosystems;knowledge management;learning processes;learning ecosystem metamodel;decision making processes;dashboards;information visualization";;;;29;;15-jul-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
"A Self-Powered; Real-Time; LoRaWAN IoT-Based Soil Health Monitoring System";"S. R. J. Ramson; W. D. León-Salas; Z. Brecheisen; E. J. Foster; C. T. Johnston; D. G. Schulze; T. Filley; R. Rahimi; M. J. C. V. Soto; J. A. L. Bolivar; M. P. Málaga";"Department of Earth; Atmospheric; and Planetary Sciences and the School of Engineering Technology; Purdue University; West Lafayette; IN; USA; School of Engineering Technology; Purdue University; West Lafayette; IN; USA; Department of Agronomy; Purdue University; West Lafayette; IN; USA; Department of Earth; Atmospheric; and Planetary Sciences; Purdue University; West Lafayette; IN; USA; Department of Agronomy; Purdue University; West Lafayette; IN; USA; Department of Agronomy; Purdue University; West Lafayette; IN; USA; Department of Earth; Atmospheric; and Planetary Sciences; Purdue University; West Lafayette; IN; USA; Department of Materials Engineering; Purdue University; West Lafayette; IN; USA; Academic Department of Chemistry; National University of San Agustin of Arequipa; Arequipa; Peru; Academic Department of Chemistry; National University of San Agustin of Arequipa; Arequipa; Peru; Academic Department of Chemistry; National University of San Agustin of Arequipa; Arequipa; Peru";IEEE Internet of Things Journal;20-may-21;2021;8;11;9278;9293;"Typical soil health assessment requires intensive field sampling and laboratory analysis. Although this approach yields accurate results; it can be costly and labor intensive and not suitable for continuous tracking of soil properties. Advances in soil sensor and wireless technologies are poised to replace physical sampling and offline measurement with in-field monitoring. This article reports the development; deployment; and validation of an Internet-of-Things (IoT) system for continuous monitoring of soil health. The end nodes of the proposed system; called soil health monitoring units (SHMUs); are solar powered and can be installed on a field for extended periods of time. Each SHMU transmits soil temperature; moisture; electrical conductivity; carbon dioxide (CO<sub>2</sub>); and geolocation data wirelessly using long-range wide-area network (LoRaWAN) radio technology. Data are received by a LoRaWAN gateway; which uploads it to a server for long-term storage and analysis. Users can view acquired data through a Web-based dashboard. The following significant experiments were carried out to validate the developed system: 1) a network consisting of eight SHMUs was deployed at an agricultural field site for several weeks and soil health metrics were analyzed using the soil health dashboard; 2) the flexibility of the system was demonstrated by the addition of an extra CO<sub>2</sub> sensor allowing an additional variable directly linked to soil health to be recorded; 3) a wireless communication range of 3422 m was estimated at a transmission power of 10 dBm by deploying the developed system on a large field; 4) the average current consumption of a SHMU (including its associated sensors) was estimated to be 13 mA; at this rate; the onboard Li-ion battery is able to sustain a SHMU for several days; and 5) a 7 cm ×6.5 cm solar panel was able to fully charge the onboard battery in 14 days while supplying power to the SHMU.";2327-4662;;10.1109/JIOT.2021.3056586;"Universidad Nacional de San Agustin Arequipa Peru(grant numbers:Nexus Institute for Food; Energy; Water and the En); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9344804;"Agriculture;environmental monitoring;Internet of Things (IoT);long-range wide-area network (LoRaWAN);real-time systems;self-powered;sensor systems;soil measurements;solar power";"Soil;Monitoring;Moisture;Internet of Things;Zigbee;Wireless sensor networks;Soil measurements";"condition monitoring;energy measurement;Internet of Things;secondary cells;soil;wide area networks";"in-field monitoring;Internet-of-Things system;continuous monitoring;SHMU;soil temperature;wide-area network radio technology;agricultural field site;Web-based dashboard;soil health monitoring units;offline measurement;physical sampling;soil health assessment;LoRaWAN IoT-based soil health monitoring system;soil health dashboard;CO2;Li";;;;57;IEEE;2-feb-21;;;IEEE;IEEE Journals;;;;;;;;;;;
Artificial Intelligence-Based E-Recruitments System;"A. Aljuaid; M. Abbod";"University of Jeddah;College of Business;Saudi Arabia; University of Jeddah;College of Business;Saudi Arabia";2020 IEEE 10th International Conference on Intelligent Systems (IS);18-sept-20;2020;;;144;147;"In order to maintain well-rounded competences in today's global businesses; organisations seek efficient methods to attract the best qualifications and candidates to maintain a high-level; qualified workforce. Currently; organisations in Saudi Arabia receive a tremendous number of job applications which; require manual selection and identification of the best candidates. This is considered to be a time-consuming process that requires personnel and resources. In this paper; we develop a new e-recruitment support system for organisations that can assess the experience; qualifications and suitability of a candidate applying for a specific job in a company or governmental organisation. In the proposed work; a ""codeigniter"" framework is used which is the main interface platform for the graphical user interface dashboard to filter the input data of all candidates. The proposed system is built experimentally using mySQL and PHP servers. For the quantitative survey; the Cronbach method is implemented to assess the reliability and validity of the survey. The quality achieved is 94%. The system should analyze job requirements and match the skills of potential employees; selecting the best person for short-listing. Hence; the human factor in the selection process can be eliminated.";1541-1672;978-1-7281-5456-5;10.1109/IS48319.2020.9199979;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9199979;"e-recruitment;Saudi universities;candidates’ assessment;short listing";"Recruitment;Tools;Qualifications;Interviews;Reliability;Companies";"artificial intelligence;electronic commerce;graphical user interfaces;human factors;personnel;recruitment";"interface platform;graphical user interface dashboard;Cronbach method;job requirements;selection process;artificial intelligence;global business;Saudi Arabia;job applications;personnel;e-recruitment support system;governmental organisation;codeigniter framework;mySQL;PHP servers";;;;18;;18-sept-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
Big Data Driven Reliability Growth for Healthcare Systems;"O. van der Burgt; L. Castermans";Royal Philips; Royal Philips;2021 Annual Reliability and Maintainability Symposium (RAMS);22-nov-21;2021;;;1;6;"SUMMARY & CONCLUSIONSThis paper presents a repairable Health Care systems development approach that integrates system Reliability Growth with the structured automated collection and manipulation of 'big data'. The approach focuses on the collection of Critical Parameters generated during endurance runs and translating these into system robustness numbers like (Cp/Cpk); system time-to-failure data and failure mode information and Crow-AMSAA (NHPP) graphs. The robustness numbers are used for a daily management dashboard and used as input for actions to drive continuous improvement of the system dependability.During the development process of a medical device; endurance runs were executed on early prototypes in order to optimize the design and to further improve the Reliability aspects of the system prior to shipment to the customer.The chosen approach ensures an automated; repeatable and reproducible data collection; calculation and visualization of big data sets and connecting them to well-known Reliability Engineering strategies like Reliability Growth Analysis. Using open source software for Statistical Computing we proved to be able to bridge the gap between data generated from the endurance runs and data analysis; while preventing manual collecting and handling of big data sets.";2577-0993;978-1-7281-8017-5;10.1109/RAMS48097.2021.9605713;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9605713;"Reliability Growth Analysis;Big Data and IoT Advanced Data processing;manipulation and analysis";"Digital twin;Data visualization;Medical services;Big Data;Tools;Reliability engineering;Robustness";;;;;;11;;22-nov-21;;;IEEE;IEEE Conferences;;;;;;;;;;
The Development of IoT-based Solar Battery Monitoring System;"N. A. b. Anang Othman; M. Zolkapli; M. A. Hairuddin; H. Hassan; A. Manut; A. S. Zoolfakar; N. E. Abdullah";"School of Electrical Engineering; College of Engineering; Universiti Teknologi MARA;Shah Alam;Selangor;Malaysia; School of Electrical Engineering; College of Engineering; Universiti Teknologi MARA;Shah Alam;Selangor;Malaysia; College of Engineering; Universiti Teknologi MARA;Gudang;Malaysia; School of Electrical Engineering; College of Engineering; Universiti Teknologi MARA;Shah Alam;Selangor;Malaysia; School of Electrical Engineering; College of Engineering; Universiti Teknologi MARA;Shah Alam;Selangor;Malaysia; School of Electrical Engineering; College of Engineering; Universiti Teknologi MARA;Shah Alam;Selangor;Malaysia; School of Electrical Engineering; College of Engineering; Universiti Teknologi MARA;Shah Alam;Selangor;Malaysia";2021 IEEE Regional Symposium on Micro and Nanoelectronics (RSM);25 Aug 2021;2021;;;34;37;"The solar photovoltaic (PV) system has become the key attraction for the generation of clean; renewable electricity. Nevertheless; performance varies due to different parameters and environmental factors. Therefore; a remote and real- performance is required to evaluate its performance. The Internet of Things (IoT) in the monitoring of the solar PV system has been implemented and its efficiency has been studied. The monitoring system uses real-time measured values to display power; current; voltage; temperature; and light intensity graphs; and it is also easy to track and view the database file to analyze the history of the collected data. The design work was divided into two main sections; hardware; and software. The hardware includes the creation of major units such as the power supply unit; the control unit and the sensor units while the software includes the database system and pulled the data out into private webpage and visualization on Grafana dashboard. This paper aims to create an IoT-based Solar Battery Monitoring System using two microcontrollers; Arduino UNO and NodeMCU. The data obtained will be stored in the local database and can be viewed through a personal web page that serves as a data log and through a visualization tool using Grafana. Throughout the system; users can easily track their solar PV system over the internet.";2639-4642;978-1-6654-1232-2;10.1109/RSM52397.2021.9511610;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9511610;"solar photovoltaic system;Internet of Things;MySQL;Grafana";"Temperature measurement;Temperature sensors;Voltage measurement;Power measurement;Current measurement;Real-time systems;Software";"battery management systems;data loggers;data visualisation;Internet;Internet of Things;microcontrollers;photovoltaic power systems;power engineering computing;renewable energy sources;sensors";"solar photovoltaic system;solar PV system;power supply unit;database system;IoT-based solar battery monitoring system;renewable electricity;environmental factors;Internet of Things;light intensity graphs;sensor unit;private webpage;Grafana dashboard visualization;microcontrollers;Arduino UNO model;NodeMCU model;personal web page;data log;visualization tool";;;;6;;25 Aug 2021;;;IEEE;IEEE Conferences;;;;;;;;;;;
Prototype proposal for the selection of Quality Open Educational Resources;"A. Romero-Pelaez; R. E. Solano";"Universidad Técnica Particular de Loja;Computer Science Department;Loja;Ecuador; Universidad Técnica Particular de Loja;Computer Science Department;Loja;Ecuador";2020 XV Conferencia Latinoamericana de Tecnologias de Aprendizaje (LACLO);19-mar-21;2020;;;1;6;"Open Educational Resources has a promising future in Higher Education and becoming accepted by academics as a feasible means to use in the teaching-learning process. Educational resources are challenging to find and reuse due to essential factors such as little confidence in their quality and lack of understanding of the license to use. We present a proposal for developing a prototype that supports OER's search and selection that users need to incorporate into their educational practices. The prototype includes OER's three dimensions: pedagogical; technological; and legal dimensions; such as facet to provide simplicity to the user. The prototype designed will allow the user to visualize quality metrics based on the used OER quality model. This prototype promotes a good user experience in searching and selecting open educational resources by a dashboard user. Moreover; this is the first step in implementing an OER repository with expectations to be scalable.";;978-1-7281-9268-0;10.1109/LACLO50806.2020.9381179;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381179;"Open Educational Resources;OER;OCW;quality;prototype";"Measurement;Web services;Education;Prototypes;Open Educational Resources;Tools;Proposals";"computer aided instruction;further education;teaching";"higher education;teaching-learning process;educational practices;pedagogical dimensions;legal dimensions;quality metrics;OER quality model;technological dimensions;open educational resources";;;;16;;19-mar-21;;;IEEE;IEEE Conferences;;;;;;;;;;;
Network Analytics for Improving Students’ Cybersecurity Awareness in Online Learning Systems;"M. Hoang T. B; D. Dang-Pham; A. Hoang; B. Le Gia; M. Nkhoma";"RMIT University Vietnam;School of Business and Management; RMIT University Vietnam;School of Science and Technology; RMIT University Vietnam;School of Business and Management; RMIT University Vietnam;School of Science and Technology; RMIT University Vietnam;School of Business and Management";2020 RIVF International Conference on Computing and Communication Technologies (RIVF);15-jul-20;2020;;;1;7;"Many universities have been widely delivering online courses via online learning systems that rely on the Internet in their execution. However; such systems often focus on the delivery of online courses while overlooking cybersecurity issues. To ensure the cybersecurity of the online learning environment; students and end-users must have appropriate knowledge and be aware of cybersecurity issues. This research identifies the key knowledge areas that belong to the students' cybersecurity awareness; namely internal threats; false identity authentication; and personal data leakage. It then proposes the network analytics approach to disseminate cybersecurity knowledge; by identifying the influential students from their social networks of online interactions in the online learning systems. A work-in-progress network analytics dashboard is presented; and future research actions are discussed in this paper.";2162-786X;978-1-7281-5377-3;10.1109/RIVF48685.2020.9140781;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9140781;"cybersecurity awareness;online learning systems;university students;network analytics";"Learning systems;Social network services;Computer hacking;Malware;Authentication;Phishing";"computer aided instruction;educational courses;Internet;security of data";"online learning systems;online courses;cybersecurity knowledge;online interactions;work-in-progress network analytics dashboard;Internet;internal threats;false identity authentication;personal data leakage";;;;56;;15-jul-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
Explainable Machine Learning applied to Single-Nucleotide Polymorphisms for Systemic Lupus Erythematosus Prediction;"M. J. Pontiveros; G. A. Solano; C. A. Tee; M. L. Tee";"University of the Philippines Manila;Department of Physical Sciences and Mathematics;Manila City;Philippines; University of the Philippines Manila;Department of Physical Sciences and Mathematics;Manila City;Philippines; National Institute of Health; University of the Philippines Manila;Manila City;Philippines; University of the Philippines Manila;College of Medicine;Manila City;Philippines";"2020 11th International Conference on Information; Intelligence; Systems and Applications (IISA";11 Dec 2020;2020;;;1;8;"Systemic lupus erythematosus (SLE) is a type of autoimmune disease that affects multiple organ systems. The exact cause is unknown; but it is believed that predisposition to SLE is caused by multiple genetic factors. In this work we explored approaches to exploration and explanation of machine learning models for quantifying the risk of an individual to SLE using single nucleotide polymorphism (SNP) as features. Various model-agnostic explanation techniques were applied to further understand the factors that drive model predictions and allow comparison of the models. A web-based dashboard was developed to facilitate exploration and comparison of the models. The user can identify which features are important for predictions of each model; as well as to understand how a model comes up with a prediction for a given observation. The best performing model is the random forest model with AUC of 92.26% and AUCPR of 93.70g%.";;978-1-6654-2228-4;10.1109/IISA50023.2020.9284372;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9284372;"systemic lupus erythematosus;single nucleotide polymorphism;explainable machine learning";"Heart;Lung;Predictive models;Genetics;Random forests;Kidney;Diseases";"diseases;genetics;learning (artificial intelligence);medical computing;molecular biophysics;polymorphism";"autoimmune disease;multiple organ systems;SLE;multiple genetic factors;machine learning models;single nucleotide polymorphism;model-agnostic explanation techniques;drive model predictions;Web-based dashboard;performing model;random forest model;explainable machine;single-nucleotide polymorphisms;systemic lupus erythematosus prediction";;;;30;;11 Dec 2020;;;IEEE;IEEE Conferences;;;;;;;;;;;
Real-Time Automatic Air Pollution Services from IOT Data Network;"C. Badii; S. Bilotta; D. Cenni; A. Difino; P. Nesi; I. Paoli; M. Paolucci";"University of Florence;Department of Information Engineering; DISIT Lab;Florence;Italy; University of Florence;Department of Information Engineering; DISIT Lab;Florence;Italy; University of Florence;Department of Information Engineering; DISIT Lab;Florence;Italy; University of Florence;Department of Information Engineering; DISIT Lab;Florence;Italy; University of Florence;Department of Information Engineering; DISIT Lab;Florence;Italy; University of Florence;Department of Information Engineering; DISIT Lab;Florence;Italy; University of Florence;Department of Information Engineering; DISIT Lab;Florence;Italy";2020 IEEE Symposium on Computers and Communications (ISCC);12-oct-20;2020;;;1;6;"In recent years; there is an increasing attention on Air Quality and derived services. In most cases; the main objective consists in providing services independently on the number of sensors; and on any position of the users. On the other hand; sensors are collected in limited positions; then a dense grid is computed to satisfy the needs of services such as: conditional routing; alerting on data values for personal usage; general heatmap production for Dashboards in control room of the operators; and for web and mobile applications for the city users. The paper formalizes the development process and describes how it is possible to automatically integrate Data Analytics in data flow real time processes; called in the paper IoT Applications. Two interpolation methods have been compared and validated in order to assess the accuracy. Interpolation errors trends have been used to detected devices' dysfunctions on sensors. The specific case presented in this paper refers to the data and the solution of Snap4City for Helsinki. Snap4City (https://www.snap4city.org) has been developed as a part Select4Cities PCP of the European Commission; and it is presently used in a number of cities and areas in Europe.";2642-7389;978-1-7281-8086-1;10.1109/ISCC50000.2020.9219580;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9219580;"smart city;pollution;interpolation;IOT application;dashboards;sensors network;early warning system;devices dysfunction";;"air pollution;data analysis;Internet of Things;interpolation;mobile radio;telecommunication network routing;wireless sensor networks";"Air Quality;mobile applications;IoT Applications;interpolation methods;Snap4City;Select4Cities PCP;IoT Data network;automatic Air pollution services";;;;8;;12-oct-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
Internet of Thing (IoT) Based Remote Labs in Engineering;T. S. El-Hasan;"Zarqa; Jordan";"2019 6th International Conference on Control; Decision and Information Technologies (CoDIT)";2-sept-19;2019;;;976;982;"This paper presents the development of a laboratory system at the Electrical Engineering Department of Zarqa University based on IoT and mobile application technologies to remotely run; implement and monitor the experiments that are required in the course of work by the student. Throughout a custom designed dashboard on the mobile application; the system; allows the students to extract results on a real time basis and submit their reports once they finish the experiments. The system comprises all the necessary devices; such as sensors; controlling and interfacing kits; cameras and others. Initially; the work is implemented on a Separately Excited DC (SEDC) motor experiment as one of the examples related to Electrical Machines Laboratory (EML) course as part of the courses delivered to the Electrical Engineering Program at Zarqa University. The proposed work mainly intents to provide an off-campus easy accessibility to the assigned experiment through a user-friendly interactive dashboard. For example in this experiment; the student can switch the direction of rotation of the motor and can run the motor at preset conditions with the capability to measure the electrical quantities such as voltage; current and power as well as other required parameters; such as speed and torque. The preliminary results demonstrated a proof of concept for remotely running such experiments via mobile applications; thereby allowing the students to perform their experiments in a fixable yet reliable manner. The work is still in progress and it is anticipated to expand the system to cover other experiments once the work is finalized.";2576-3555;978-1-7281-0521-5;10.1109/CoDIT.2019.8820591;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8820591;;"Educational courses;Computer aided instruction;Internet of Things;Electrical engineering education";"computer aided instruction;educational courses;electric machines;electrical engineering computing;electrical engineering education;Internet of Things;laboratories;mobile computing";"IoT;remote labs;laboratory system;Electrical Engineering Department;Zarqa University;mobile application technologies;off-campus easy accessibility;user-friendly interactive dashboard;electrical engineering program;electrical machines laboratory course;separately excited DC motor experiment";;2;;22;;2-sept-19;;;IEEE;IEEE Conferences;;;;;;;;;;;
A Predictive Service for Highway Hotspot Policing;"J. V. V. Coelho; J. d. S. Silva; A. d. Araújo; N. Cacho; F. Lopes; J. A. d. Medeiros";"Digital Metropolis Institute Federal University of Rio Grande do Norte;Natal;Brazil; Digital Metropolis Institute Federal University of Rio Grande do Norte;Natal;Brazil; Federal University of Rio Grande do Norte;Dept. of Informatics and Applied Mathematics;Natal;Brazil; Federal University of Rio Grande do Norte;Dept. of Informatics and Applied Mathematics;Natal;Brazil; Digital Metropolis Institute Federal University of Rio Grande do Norte;Natal;Brazil; Digital Metropolis Institute Federal University of Rio Grande do Norte;Natal;Brazil";2020 IEEE International Smart Cities Conference (ISC2);29-oct-20;2020;;;1;7;"Brazil's road traffic mortality rates have been increasing since the 1960s and in 2003 road traffic crashes in Brazil were responsible for over 26 percent of fatal injuries. Some actions need to be taken to make it safer; hence; we have proposed; implemented; and deployed a support system that predicts and generates; based on the prediction; a program-card for a Federal agency responsible for patrolling highways which cross most of the big Brazilian cities. We used the data from the Federal Highway Police (PRF) about road accidents to test the performance of the generated models and demonstrate the designed dashboard. We obtained a better performance than the baseline of comparison on the three groups used on the study: alcohol_drugs; lack_attention and aggressive driving; reaching a R<sup>2</sup> score of 0.440; 0.688 and 0.453 respectively.";2687-8860;978-1-7281-8294-0;10.1109/ISC251055.2020.9239091;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9239091;"Hotspot Prediction;Road Accident Prediction;Public Security;Forecasting;Machine Learning";"Road accidents;Law enforcement;Smart cities;Roads;Predictive models;Data models;Resource management";"data analysis;injuries;learning (artificial intelligence);road accidents;road safety;road traffic;traffic engineering computing";"program-card;Federal Highway Police;road accidents;predictive service;fatal injuries;highway hotspot policing;Brazil road traffic mortality rates;road traffic crashes;dashboard;support system;machine learning";;;;27;;29-oct-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
