"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"RecoMob: Opinion mining for product enhancement","R. Iyer; R. Mandrekar; A. Aggarwal; P. Chaphekar; G. Bhatia","Department of Computer Engineering, VES Institute of Technology, Mumbai, India; Department of Computer Engineering, VES Institute of Technology, Mumbai, India; Department of Computer Engineering, VES Institute of Technology, Mumbai, India; Department of Computer Engineering, VES Institute of Technology, Mumbai, India; Department of Computer Engineering, VES Institute of Technology, Mumbai, India","2017 International Conference on Computer Communication and Informatics (ICCCI)","","2017","","","1","5","Opinion mining is the field of extracting and studying people's' opinions, sentiments, attitudes, and emotions expressed in a different digital form in the form of reviews on e-commerce and other social networking sites. It has a broad range of applications which varies from understanding the personal likes and dislikes of the particular user to predicting his shopping habits. The prime objective of our project is to understand the some of the features of the mobile based on the reviews given by the users, classify them into positive and negative, and also suggest the products to the user based on the parameters specified by the user. To implement this, we have obtained the reviews by scrapping the Amazon website for six phone models and later cleaning the data contains sentiments of people which are expressed in different ways. Our application will collect reviews about products, calculate the sentiment score of the words and hence determine the overall polarity of the sentence as positive or negative. We have developed a dashboard wherein the customer can easily identify the specific features of the mobile. We have also predicted the similar products based on the user requirements. The graphs which indicate the popularity of the product over time. The final output of the system will be - 1) Timeline Analysis of product reviews 2) Product Recommendation.","","978-1-4673-8855-9978-1-4673-8853-5978-1-4673-8856","10.1109/ICCCI.2017.8117687","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8117687","Feature extraction;Opinion Mining;product reviews;recommendation system;sentiment analysis;timeline analysis","Feature extraction;Data mining;Informatics;Electronic mail;Sentiment analysis;Mobile communication;Computational modeling","data mining;electronic commerce;social networking (online)","RecoMob;opinion mining;product enhancement;social networking sites;shopping habits;sentiment score;user requirements;Amazon website","","","","20","","","","","","IEEE","IEEE Conferences"
"Tool Support for Continuous Quality Control","F. Deissenboeck; E. Juergens; B. Hummel; S. Wagner; B. M. y. Parareda; M. Pizka","Technische Universität München; Technische Universität München; Technische Universität München; Technische Universität München; itestra GmbH; itestra GmbH","IEEE Software","","2008","25","5","60","67","Over time, software systems suffer gradual quality decay and therefore costs can rise if organizations fail to take proactive countermeasures. Quality control is the first step to avoiding this cost trap. Continuous quality assessments help users identify quality problems early, when their removal is still inexpensive; they also aid decision making by providing an integrated view of a software system's current status. As a side effect, continuous and timely feedback helps developers and maintenance personnel improve their skills and thereby decreases the likelihood of future quality defects. To make regular quality control feasible, it must be highly automated, and assessment results must be presented in an aggregated manner to avoid overwhelming users with data. This article offers an overview of tools that aim to address these issues. The authors also discuss their own flexible, open-source toolkit, which supports the creation of dashboards for quality control.","0740-7459;1937-4194","","10.1109/MS.2008.129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4602675","software engineering;software quality;project management;project control and modeling","Quality control;Software systems;Software quality;Monitoring;Degradation;ISO standards;Usability;Maintenance engineering;Reliability engineering;Current measurement","decision making;public domain software;quality control;software quality;software tools","continuous quality control;continuous quality assessments;decision making;flexible open-source toolkit;dashboards","","30","","6","","","","","","IEEE","IEEE Journals & Magazines"
"Faceted Search in Business Intelligence on the Cloud","H. Al-Aqrabi; L. Liu; R. Hill; L. Cui; J. Li","NA; NA; NA; NA; NA","2013 IEEE International Conference on Green Computing and Communications and IEEE Internet of Things and IEEE Cyber, Physical and Social Computing","","2013","","","842","849","Faceted search is a new concept in search engines for implementing a feature of direct search queries using guided navigation among the search results. In this concept, the search results are grouped and ranked under facets that guide a user on the dimensions through which the search results can be viewed. It has been implemented on web based query systems by integrating with semantic search engines (like Google, Yahoo and Bing). However, there is a significant opportunity of implementing faceted search in business intelligence (BI) frameworks to include direct searching features through BI dashboards and custom reporting interfaces. In this paper, a technology positioning map for implementing faceted search in BI framework on cloud computing has been presented. BI on the cloud is based on massively parallel processing of hardware and database resources and an XML based service oriented architecture in which the data warehouses and OLAP cubes are formed using XML data files. The architecture has been expanded to include a DOM parser and a DTD mapping system that will parse the 2D XML views (pulled from cubes formed by many-to-many XML files) and extract the database fields to be stored in a facet repository as per pre-established metadata rules. Whenever an OLAP query is invoked by a user (using a decision map), a query coordinator will fetch the relevant 2D OLAP views and group them under facets fetched from the facet repository taking the services of a metadata coordinator. The user can make use of the facets to create direct queries, generate the targeted dashboards, and hence reduce searching time.","","978-0-7695-5046","10.1109/GreenCom-iThings-CPSCom.2013.148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6682162","Faceted search;Business intelligence;OLAP;XML;data files;XML DOM parsing;XML data warehouse;OLAP cubes;Cloud computing","XML;Bismuth;Databases;Business;Films;Data warehouses;Search problems","cloud computing;competitive intelligence;data mining;data warehouses;grammars;meta data;parallel architectures;query processing;search engines;semantic Web;service-oriented architecture;XML","business intelligence;cloud computing;faceted search;direct search query;Web based query system;semantic search engine;BI dashboard;massively parallel processing;hardware resource;database resource;XML based service oriented architecture;data warehouse;XML data file;DOM parser;DTD mapping system;database extraction;facet repository;metadata rule;OLAP query;meta data query coordinator","","","","30","","","","","","IEEE","IEEE Conferences"
"A Customized Dashboard for VM Provisioning Using OpenStack","P. P. Anchalia; P. Gupta; J. Shetty","NA; NA; NA","2015 7th International Conference on Computational Intelligence, Communication Systems and Networks","","2015","","","177","182","Cloud Computing allows the user to access the cloud services dynamically over the internet wherever and whenever needed. Open Stack is an open source software used to build a public or a private cloud. In its raw form Open Stack is not flexible enough to accommodate an organizational hierarchy. In this paper we propose a novel approach to modify the OpenStack Dashboard's structure to adapt to an organization's hierarchy and in addition we also integrate modules like user and tenant registration, role based access control and custom flavour creation onto the Open Stack dashboard to make it more flexible and easy to use. The implementation is done using a sample organizational hierarchy which is discussed in detail in this paper and we have designed an Open Stack dashboard using Open Stack Icehouse version deployed on Ubuntu.","","978-1-4673-7016-5978-1-4673-7015","10.1109/CICSyN.2015.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7311153","Cloud Computing;Open Stack;VM Provisioning;Open Stack Dashboard","Cloud computing;Servers;Virtual machining;Organizations;Access control","cloud computing;public domain software;resource allocation;virtual machines","VM provisioning;virtual machine;OpenStack open source software;cloud computing;cloud services;organizational hierarchy;OpenStack dashboard structure;user-and-tenant registration module;role based access control module;custom flavour creation module;OpenStack Icehouse version;Ubuntu","","1","","17","","","","","","IEEE","IEEE Conferences"
"A real time mission-critical business intelligence for development of mixture composition on aromatherapy product based on customer personality type","T. Djatna; I. B. Dharma Yoga Santosa","Post Graduate Program of Agro-industrial Technology Bogor Agricultural University Bogor, Indonesia; Post Graduate Program of Agro-industrial Technology Bogor Agricultural University Bogor, Indonesia","2014 6th International Conference on Information Technology and Electrical Engineering (ICITEE)","","2014","","","1","6","Aromatherapy products, like spa mixture, scrub, soap, perfume, and others are individual and very subjective preferences which have high value of business. They require for rapid responses while fulfilling customer needs and mix ordered active note to serve customer preferences. Such requirement needs a real time mission-critical business intelligence which ensures effectiveness and efficiency on fulfilling customer need. In this paper, the objectives are to acquire and to formulate customer preference requirement on aromatherapy product in real time mode. Main characteristics are on key performance indicators (KPI) and displayed them for evaluation in form of dashboard. The formulation worked with sort of databases which filled by customer interaction in real time mode to determine best aromatherapy personal mixture by using quantification theory type 1 (QTT-1) method. QTT-1 is an effective analysis method for building a mathematical model of the relationships between customer personality type and aromatherapy mixture compositions. Dashboard generated from KPI ease the decision making on each element in business intelligence. Further personality approaches are needed to cover each specific requirement on different group of customers.","","978-1-4799-5303-5978-1-4799-5302-8978-1-4799-5301","10.1109/ICITEED.2014.7006990","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7006990","real time mission-critical business intelligence;aromatherapy;personality;quantification theory type","Real-time systems;Databases;Mission critical systems;Correlation coefficient;Information technology;Electrical engineering","competitive intelligence;customer satisfaction","real time mission-critical business intelligence;mixture composition;aromatherapy product;customer personality type;customer needs;mix ordered active note;key performance indicators;KPI;customer interaction;quantification theory type 1 method;QTT-1 method;decision making","","","","11","","","","","","IEEE","IEEE Conferences"
"A denosing method of frequency spectrum for recognition of dashboard sounds","P. Li; Q. Wu; C. Wu; C. Yuan","Key Laboratory of OptoElectronic Science and Technology for Medicine of Ministry of Education, College of Photonic and Electronic Engineering, Fujian Normal University Fujian, Fuzhou 350007, China; Key Laboratory of OptoElectronic Science and Technology for Medicine of Ministry of Education, College of Photonic and Electronic Engineering, Fujian Normal University Fujian, Fuzhou 350007, China; Key Laboratory of OptoElectronic Science and Technology for Medicine of Ministry of Education, College of Photonic and Electronic Engineering, Fujian Normal University Fujian, Fuzhou 350007, China; Key Laboratory of OptoElectronic Science and Technology for Medicine of Ministry of Education, College of Photonic and Electronic Engineering, Fujian Normal University Fujian, Fuzhou 350007, China","2017 10th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)","","2017","","","1","5","In this article a frequency spectrum-based approach is proposed to extract features and identify warning tones from dashboard. The purpose of this paper is to identify the warning tones emitted from the dashboard, such as turn signal lights, unmanned seat belts, position lights, etc. After analysis of the spectral characteristics of sound signals, the information is extracted directly from the spectral characteristics as the basis of classification and identification. Firstly, the standard voices of different instruments are collected as templates. The test sound is compared with the template sounds when testing, and similarity is calculated. When the similarity is higher than a threshold, test sound and template sound are regarded as the same voice. Otherwise that is not qualified sound and the meter is considered to be defective. The usual way to remove noise was in the time domain. A new approach has been proposed to denoise in the spectral space and obtain the efficiently spectral characteristics of the standard sounds. Finally this method is applied to dashboard voice recognition and has achieved good results.","","978-1-5386-1937-7978-1-5386-1936-0978-1-5386-1938","10.1109/CISP-BMEI.2017.8302139","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8302139","identifying speech;similarity;template","Standards;Discrete Fourier transforms;Signal processing algorithms;Speech recognition;Speech;Feature extraction;Instruments","feature extraction;noise abatement;signal denoising;spectral analysis","dashboard sounds;warning tones;turn signal lights;frequency spectrum denosing method;dashboard voice recognition;standard sounds;efficiently spectral characteristics;spectral space;template sound;standard voices;sound signals;position lights;unmanned seat belts","","","","10","","","","","","IEEE","IEEE Conferences"
"An Offline Framework for Handling Automatic Passenger Counting Raw Data","B. Barabino; M. Di Francesco; S. Mozzoni","NA; NA; NA","IEEE Transactions on Intelligent Transportation Systems","","2014","15","6","2443","2456","Knowledge of ridership data on bus routes is pivotal for the quality and efficient operational planning of public transport companies. Automatic passenger counting (APC) can represent a powerful resource for supporting this activity, because it can provide a databank of accurate counts. However, relevant challenges, such as the matching of data to the bus stop, data validation, tackling anomalies, and building intelligible performance reports, must be faced in order to make APC data a mainstream source of information. This paper proposes an offline framework for addressing these challenges. In order to illustrate a possible application of the framework, its use for setting bus frequencies is investigated. The results are represented by easy-to-read control dashboards composed of tables and graphs. The methodology is experimentally tested with data records provided by the bus operator CTM in Cagliari, Italy. Finally, we discuss the implications on service rearrangement.","1524-9050;1558-0016","","10.1109/TITS.2014.2315573","CTM SpA, Cagliari, Italy; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6817563","Automatic passenger counting (APC) raw data;matching algorithms;transit operations;Automatic passenger counting (APC) raw data;matching algorithms;transit operations","Road transportation;Frequency;Planning;Global Positioning System;Algorithm design and analysis","data handling;intelligent transportation systems;public transport;traffic engineering computing","automatic passenger counting raw data handling;service rearrangement;Italy;Cagliari;bus operator CTM;data records;easy-to-read control dashboards;bus frequencies;offline framework;APC data;intelligible performance reports;data validation;bus stop;data matching;automatic passenger counting;public transport companies;operational planning;bus routes;ridership data","","10","","34","","","","","","IEEE","IEEE Journals & Magazines"
"Developing a real-time monitoring and alerting capability for traffic flow management","S. A. Tien; J. DeArmon; H. Bateman; D. Freer; P. Somersall","Center for Advanced Aviation System Development, MITRE Corporation, McLean, VA; Center for Advanced Aviation System Development, MITRE Corporation, McLean, VA; Center for Advanced Aviation System Development, MITRE Corporation, McLean, VA; Air Traffic Control System Command Center, Federal Aviation Administration, Warrenton, VA; Air Traffic Control System Command Center, Federal Aviation Administration, Warrenton, VA","2016 IEEE/AIAA 35th Digital Avionics Systems Conference (DASC)","","2016","","","1","10","This paper describes the development of a real-time composite interactive display suite or “dashboard” capability for monitoring and alerting significant National Airspace System (NAS) events. The dashboard is designed to address the operational needs of air traffic managers in gathering data from multiple sources, thus gaining situational awareness of the NAS status. It monitors several system performance areas in real-time and identifies alerting events, pushing to the user relevant information and notifications regarding evolving problems. (“Pushing” information on a display means autonomous presentation - no query or other interrogation by the user is required.) While high-level system alerts are provided, drill-down information is also available for the user to determine whether further actions are warranted. The dashboard also allows the user to customize the alerts for a specific context by setting thresholds. Field evaluation results suggest that the dashboard capability shortens traffic managers' data acquisition time and, since the dashboard capability is a shared web application, it improves common situational awareness on NAS operations. Ongoing research focuses on calibrating alert thresholds for site-specific needs and expanding the selection of performance metrics enabled by System Wide Information Management feeds.","2155-7209","978-1-5090-2523-7978-1-5090-2524","10.1109/DASC.2016.7778018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7778018","traffic flow management;real-time dashboard;monitoring and alerting;data integration","Airports;FAA;Measurement;Public transportation;Feeds;Monitoring;Meteorology","aerospace computing;air traffic control;control engineering computing;data acquisition;Internet;performance evaluation","alerting capability;traffic flow management;real-time monitoring;real-time composite interactive display suite;dashboard capability;national airspace system events;NAS;air traffic managers;high-level system;traffic manager data acquisition time;shared Web application;situational awareness;performance metrics;system wide information management feeds","","","","5","","","","","","IEEE","IEEE Conferences"
"A flexible architecture for selection and visualization of information in emergency situations","B. S. Nascimento; A. S. Vivacqua; M. R. S. Borges","Graduate Program on Informatics (PPGI), Universidade Federal do Rio de Janeiro (UFRJ), Brazil; Graduate Program on Informatics (PPGI), Universidade Federal do Rio de Janeiro (UFRJ), Brazil; Graduate Program on Informatics (PPGI), Universidade Federal do Rio de Janeiro (UFRJ), Brazil","2016 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","","2016","","","003317","003322","Emergency command and control centers (CC) are integrated facilities to assist and handle crisis situations. In these CCs, operators suffer both with information shortage and overload. This paper focuses on the information overload problem. Operators often do not have adequate access to information that may be relevant in the decision-making process. In many CC centers, information is stored without filtering or refinement for later use, and its visualization is pre-defined at design time, offering no possibility of customization. To address the problems created by this lack of support, we propose an architecture to enable fast and easy selection from multiple information sources, and definition of appropriate visualizations. Following this architecture, we developed the “Emergency Dashboard”, a system that provides selection of a desired set of data and presents it, using configurable dashboards. We also provide collaborative mechanisms, given that, at times, it is not possible for a single user to handle such large datasets alone.","","978-1-5090-1897-0978-1-5090-1819-2978-1-5090-1898","10.1109/SMC.2016.7844746","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844746","emergency management;information visualization;dashboard;collaboration","Visualization;Collaboration;Decision making;Computer architecture;Data visualization;Context;Conferences","data visualisation;decision making;emergency services;groupware;information retrieval;software architecture","flexible architecture;information selection;information visualization;emergency command and control centers;crisis situations;information access;decision making;emergency dashboard;collaborative mechanisms","","","","19","","","","","","IEEE","IEEE Conferences"
"A framework of Thailand higher education dashboard system","N. Denwattana; A. Saengsai","Software engineering program, Faculty of Informatics, Burapha University, Chonburi, THAILAND; Information Systems Engineering Research Laboratory, Faculty of Informatics, Burapha University, Chonburi, THAILAND","2016 International Computer Science and Engineering Conference (ICSEC)","","2016","","","1","6","Prominent organizations, currently, have analytical data-driven tool to support their decision making. A chart-like dashboard is the most appropriate tool to make integrated decisions encompassing multiple functions based on relevance information systems. Such tools, however, are commonly used in commercial firms rather than in the public organizations, especially in the education sections. It is crucial that several missions for the higher education in Thailand, such as graduate performance, research study, academic services to the society, and art &amp; culture preservation, need a decision supporting tool to accomplish such goals. In this paper, we propose the dashboard framework for Higher Education, called TheDB (Thailand higher education DashBoard). It is generally very challenging for the higher education to have their own dashboards for different levels in the organization. We have implemented TheDB framework in nursing colleges of Public Health Ministry. In addition, they explicit their work operation via the dashboard for education quality assurance audited and approved by both related authorize organizations, including Thailand Nursing Council.","","978-1-5090-4420-7978-1-5090-4421","10.1109/ICSEC.2016.7859883","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7859883","Dashboard;analytic data-driven tool;decision support;framework;higher education;information systems","Information systems;Education;Organizations;Medical services;Quality assurance;Decision support systems","charts;data analysis;decision making;further education;information systems;quality assurance","Thailand higher education dashboard system;analytical data-driven tool;decision making;chart-like dashboard;relevance information systems;TheDB;education quality assurance","","1","","10","","","","","","IEEE","IEEE Conferences"
"Open Student Models of Core Competencies at the Curriculum Level: Using Learning Analytics for Student Reflection","C. Chou; S. Tseng; W. Chih; Z. Chen; P. Chao; K. R. Lai; C. Chan; L. Yu; Y. Lin","Department of Computer Science and Engineering, Yuan Ze University, Taoyuan, Taiwan; Innovation Center for Big Data and Digital Convergence, Yuan Ze University, Taoyuan, Taiwan; Department of Computer Science and Engineering, Yuan Ze University, Taoyuan, Taiwan; Innovation Center for Big Data and Digital Convergence, Yuan Ze University, Taoyuan, Taiwan; Innovation Center for Big Data and Digital Convergence, Yuan Ze University, Taoyuan, Taiwan; Department of Computer Science and Engineering, Yuan Ze University, Taoyuan, Taiwan; Innovation Center for Big Data and Digital Convergence, Yuan Ze University, Taoyuan, Taiwan; Innovation Center for Big Data and Digital Convergence, Yuan Ze University, Taoyuan, Taiwan; Innovation Center for Big Data and Digital Convergence, Yuan Ze University, Taoyuan, Taiwan","IEEE Transactions on Emerging Topics in Computing","","2017","5","1","32","44","This paper proposes an approach for developing curriculum-level open student models. This approach entails evaluating student core competencies using the correspondence between courses and core competencies in a competency-based curriculum and students' taken courses and grades. On the basis of this approach, a curriculum-level, competency-based visualized analytic system, called visualized analytics of core competencies (VACCs), was implemented. Course-competency diagnostic tools, course work performance radar charts, and peer-based ranking tables were developed as part of the VACC analytic system for student reflection and to position their levels of core competencies. These curriculum-level open student models revealed multiple aspects of students' core competencies by monitoring the quantity and quality of courses taken by students, and evaluating students' ranks regarding core competencies compared with their classmates and graduates. VACC evaluation was conducted in this paper. The results showed that more than 70% of students reported that VACC helped in reflecting on their core competencies, assisting them in understanding the correspondence between their taken courses and core competencies, and helping them to set goals regarding taking additional courses. In addition, this paper discusses potential analytics and applications of open student models of core competencies.","2168-6750;2376-4562","","10.1109/TETC.2015.2501805","Innovation Center for Big Data and Digital Convergence, Yuan Ze University, Taoyuan, Taiwan; Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7335629","Computers and education;learning analytics;learning dashboards;learning technologies;open student model","Computational modeling;Analytical models;Data visualization;Reflection;Adaptation models;Visualization;Radar","data analysis;educational administrative data processing;educational courses","curriculum-level open student models;competency-based curriculum;visualized analytics of core competencies;course-competency diagnostic tools;course work performance radar charts;peer-based ranking tables;VACC analytic system;student reflection","","3","","59","","","","","","IEEE","IEEE Journals & Magazines"
"Privacy Dashboards: Reconciling Data-Driven Business Models and Privacy","C. Zimmermann; R. Accorsi; G. Müller","NA; NA; NA","2014 Ninth International Conference on Availability, Reliability and Security","","2014","","","152","157","We argue for the use of Privacy Dashboards as enablers for privacy-enabled data-driven business models. Specifically, while dashboards are succesful instruments in business intelligence tools, their use in privacy protection is far less well-understood. Addressing this problem at the technical level, this paper provides a classification scheme for Privacy Dashboards and elaborates on the current state of the art to draw a research agenda for designing Privacy Dashboards that cater to users' desire of control and businesses' need for data collection and usage.","","978-1-4799-4223","10.1109/ARES.2014.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6980276","","Business;Data privacy;Privacy;Google;Instruments;Accuracy;Data collection","business data processing;data acquisition;data protection;pattern classification","privacy dashboards;privacy-enabled data-driven business models;business intelligence tools;privacy protection;classification scheme;data collection;data usage","","1","","51","","","","","","IEEE","IEEE Conferences"
"Enhancing the Professional Vision of Teachers: A Physiological Study of Teaching Analytics Dashboards of Students' Repertory Grid Exercises in Business Education","K. Pantazos; R. Vatrapu","NA; NA","2016 49th Hawaii International Conference on System Sciences (HICSS)","","2016","","","41","50","This paper reports on a study of the design, development and evaluation of two teaching analytics dashboards that visualize students' repertory grid exercise data. The technical objective of the dashboards is to support teachers to investigate and compare personal constructs and element ratings by students for given topics of study at the individual student, group or classroom levels of analysis. The pedagogical objective of the dashboards is to facilitate formative assessment feedback to students and feed-forward refinements to ongoing instructional practices. The teaching analytics dashboards were evaluated with six university teachers in a bio-metric usability study with integrated physiological and performance measures. Eye-tracking data from the two dashboards showed the relative importance of dashboard areas in each case in terms of aggregate gaze allocation. Findings informed the iterative design of the dashboards leading to teachers not being adversely affected by the visual clutter of the less important dashboard areas in their pedagogical decision-making. The results also showed that the dashboards were efficient and effective from a task performance perspective and were rated to be pleasant from a subjective satisfaction perspective. Regarding education technology innovation, teachers reported that such dashboards are lacking in their regular practice and would recommend their use in formal business educational settings.","1530-1605","978-0-7695-5670","10.1109/HICSS.2016.14","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427189","Teaching analytics;dashboards;repertory grid;bio-metric usability study","Education;Visualization;Data visualization;Usability;Physiology;Decision making;Cognition","decision making;educational technology;feedforward;innovation management;management education;teaching","professional vision;physiological study;student repertory grid exercise;teaching analytics dashboard;repertory grid exercise data;personal construct;element rating;pedagogical objective;formative assessment feedback;feed-forward refinement;instructional practice;university teacher;biometric usability study;integrated physiological measure;performance measure;eye-tracking data;aggregate gaze allocation;iterative design;visual clutter;pedagogical decision-making;task performance perspective;subjective satisfaction perspective;education technology innovation;formal business educational setting","","1","","53","","","","","","IEEE","IEEE Conferences"
"Towards a selfie social network with automatically generated sentiment-bearing hashtags","S. Tedmori; R. Al-Lahaseh","Computer Science, Princess Sumaya University for Technology, Amman, Jordan; Computer Science, Princess Sumaya University for Technology, Amman, Jordan","2016 7th International Conference on Computer Science and Information Technology (CSIT)","","2016","","","1","6","Web 2.0 has witnessed increased focus on more user generated content and eventually on data analyzed and queried in meaningful ways. Selfies, a new form of user-generated content, have become an important part of the visual communication in social media. A large portion of images posted on some social networks are selfies. Behind each of these selfies lie the sentiments of the person in the photo posted. The authors of this paper believe that adding quantified sentiment indicators to these selfies can be a valuable addition to not only the social network users but also to the many networks already in existence. Motivated by the idea, the authors propose an addition to social networks that automatically captures the sentiments expressed in selfies as they are being posted. The captured sentiments are then presented along with the selfies' on the users' timeline. In this research, the authors propose Momented, a selfie social network. Momented works by tracking the sentiments expressed in the selfies posted on the Momented social network. Based on the emotions tracked from a particular selfie, the system automatically generates sentiment bearing hashtags. Tthe selfie along with the automatically generated hash tags are posted on the user's dashboard timeline.","","978-1-4673-8914-3978-1-4673-8915","10.1109/CSIT.2016.7549481","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7549481","social network;selfie;sentiment analysis;emotions;hashtags","Sentiment analysis;Shape;Visualization;Tagging;Twitter;Metadata","emotion recognition;Internet;sentiment analysis;social networking (online);visual communication","selfie social network;sentiment-bearing hashtags;Web 2.0;user generated content;visual communication;social media;quantified sentiment indicators;sentiment expression tracking;momented social network;emotion tracking;user dashboard timeline","","2","","12","","","","","","IEEE","IEEE Conferences"
"Considering dependability requirements in the context of Decision Support Systems","I. Hilal; N. Afifi; M. Ouzzif; H. Belhaddaoui","RITM Lab. ESTC, CED ENSEM, Hassan II University, Casablanca, Morocco; RITM Lab. ESTC, CED ENSEM, Hassan II University, Casablanca, Morocco; RITM Lab. ESTC, CED ENSEM, Hassan II University, Casablanca, Morocco; RITM Lab. ESTC, CED ENSEM, Hassan II University, Casablanca, Morocco","2015 IEEE/ACS 12th International Conference of Computer Systems and Applications (AICCSA)","","2015","","","1","8","In the healthcare context, decisions are crucial. Therefore Decision Support Systems must ensure a high level of dependability. In order to justify the required dependability level, its requirements must be addressed seriously during the system life cycle. To overcome this issue, our approach is based on Model Driven Architecture to model dependability requirements from the earlier stages of decision support system development. Then, it proposes to map them to functional one in order to obtain integral models. The purpose of this paper is to prove the applicability and the benefits of our approach using a case study of urgent clinical care dashboard which is a project recommended by the National Health Service (NHS) of United Kingdom (UK).","2161-5330","978-1-5090-0478-2978-1-5090-0477-5978-1-5090-0479","10.1109/AICCSA.2015.7507207","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7507207","Decision Support System;healthcare dashboard;Dependability;NHS project;Model Driven Architecture;NFR Framework;QoS-FT profile","Unified modeling language;Reliability;Decision support systems;Testing;Analytical models;Load modeling","decision support systems;health care;medical administrative data processing;software architecture","dependability requirements;decision support systems;urgent clinical care dashboard;health care context;dependability level;system life cycle;model driven architecture;integral models;National Health Service;NHS;United Kingdom;UK","","","","28","","","","","","IEEE","IEEE Conferences"
"From Mobile Phones to Personal Wellness Dashboards","A. Kailas; C. Chong; F. Watanabe","DOCOMO USA Labs, Palo Alto, California.; DOCOMO USA Labs, Palo Alto, California.; DOCOMO Communications Laboratories USA, Inc.","IEEE Pulse","","2010","1","1","57","63","The paradigm of wellness mobiles will enable health-care professionals to have access to comprehensive real-time patient data at the point of care and anywhere there is cellular network coverage. More importantly, users can continuously and frequently track their health on the go and receive real-time user assistance when needed to alter their lifestyles. Recently, there has been a growing interest in developing proactive wellness products and health-related smartphone applications. However, developing quantifiable measures of wellness for continuous tracking and designing compliant-monitoring systems is quite challenging. This article motivates future research in this emerging field by presenting a ringside view of the recent developments and trends favoring this technology and the challenges facing the next generation of telemedicine.","2154-2287;2154-2317","","10.1109/MPUL.2010.937244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5506918","","Mobile handsets;Medical services;Biosensors;Costs;Communication standards;Telecommunication standards;Temperature sensors;Communication industry;FCC;Frequency","health care;mobile handsets;patient care;telemedicine","mobile phones;personal wellness dashboards;health-care professionals;real-time patient data;cellular network coverage;real-time user assistance;proactive wellness products;health-related smartphone applications;telemedicine","Biometry;Cellular Phone;Computer Communication Networks;Equipment Design;Humans;Monitoring, Physiologic;Monitoring, Physiologic;Personal Health Services;Software;Telemetry","67","","11","","","","","","IEEE","IEEE Journals & Magazines"
"Predictive analytics and proactive service","D. Nauck","Research &amp; Innovation, BT","IET Seminar on Data Analytics 2013: Deriving Intelligence and Value from Big Data","","2013","","","1","26","Presents a collection of slides covering the following: predictive analytics; proactive service; Big Data; operational data; business decisions; decision support systems; autonomic systems; process mining; customer behaviour; early life failure prediction; fault model simulations; forecasting; predictive dashboards; visual analytics; and autonomic network management.","","978-1-84919-818","10.1049/ic.2013.0234","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6785501","","","Big Data;business data processing;data analysis;data mining;decision support systems","predictive analytics;proactive service;Big Data;operational data;business decisions;decision support systems;autonomic systems;process mining;customer behaviour;early life failure prediction;fault model simulations;forecasting;predictive dashboards;visual analytics;autonomic network management","","","","","","","","","","IET","IET Conferences"
