Authors,Title,Year,Source title,DOI,Link,Document Type,Source
"Karmoshi S., Hawbani A., Ghannami A., Mohammed S., Zhu M.","VNE-Greedy: Virtual Network Embedding Algorithm Based on OpenStack Cloud Computing Platform",2017,"Proceedings - 2016 International Conference on Digital Home, ICDH 2016","10.1109/ICDH.2016.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032335732&doi=10.1109%2fICDH.2016.039&partnerID=40&md5=8cda9b4be4f7ad83d2b6d23bc5a72f34",Conference Paper,Scopus
"Fang D., Kahng M., Hohman F., Sharmin M., Polack P., Al'Absi M., Sarker H., Chau D.H.","Mhealth visual Discovery Dashboard",2017,"UbiComp/ISWC 2017 - Adjunct Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","10.1145/3123024.3123170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030836909&doi=10.1145%2f3123024.3123170&partnerID=40&md5=00d8627c445f4757c74a176c6feeadc0",Conference Paper,Scopus
"Kurtzman G., Dine J., Epstein A., Gitelman Y., Leri D., Patel M.S., Ryskina K.","Internal medicine resident engagement with a laboratory utilization dashboard: Mixed methods study",2017,"Journal of Hospital Medicine","10.12788/jhm.2811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037853816&doi=10.12788%2fjhm.2811&partnerID=40&md5=400b293ff4a76f83a2c5b08e0a8e1790",Article,Scopus
"Pike I., Smith J., Al-Hajj S., Fuselli P., Macpherson A.","The Canadian atlas of child and youth injury: Mobilizing injury surveillance data to launch a national knowledge translation tool",2017,"International Journal of Environmental Research and Public Health","10.3390/ijerph14090982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028587064&doi=10.3390%2fijerph14090982&partnerID=40&md5=7dedee8426e5837d4d819b8467dfa08c",Article,Scopus
"Patrician P.A., Loan L.A., McCarthy M.S., Swiger P., Breckenridge-Sproat S., Brosch L.R., Jennings B.M.","Twenty years of staffing, practice environment, and outcomes research in military nursing",2017,"Nursing Outlook","10.1016/j.outlook.2017.06.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028038400&doi=10.1016%2fj.outlook.2017.06.015&partnerID=40&md5=440af0671080db38052ed7989486d77f",Article,Scopus
"Twomey N., O'Raghallaigh P., Nagle T., Sammon D.","Using swarming to build complex dashboards",2017,"Proceedings of the 13th International Symposium on Open Collaboration Companion, OpenSym 2017","10.1145/3126673.3126676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029706713&doi=10.1145%2f3126673.3126676&partnerID=40&md5=44ce1613e4013b0ff385019c19a781f4",Conference Paper,Scopus
"de Olde E.M., Moller H., Marchand F., McDowell R.W., MacLeod C.J., Sautier M., Halloy S., Barber A., Benge J., Bockstaller C., Bokkers E.A.M., de Boer I.J.M., Legun K.A., Le Quellec I., Merfield C., Oudshoorn F.W., Reid J., Schader C., Szymanski E., Sørensen C.A.G., Whitehead J., Manhire J.","When experts disagree: the need to rethink indicator selection for assessing sustainability of agriculture",2017,"Environment, Development and Sustainability","10.1007/s10668-016-9803-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966694873&doi=10.1007%2fs10668-016-9803-x&partnerID=40&md5=fd05256b9c9026dc522f7367fe1b3048",Article,Scopus
"Noce C.A.M., Nze G.D.A., Brasil L.M.","Hospital occupation rate analysis of the Brazilian federal university hospitals through business intelligence [Análise da taxa de ocupação hospitalar dos Hospitais Universitários Federais Brasileiros via Business Intelligence]",2017,"Iberian Conference on Information Systems and Technologies, CISTI","10.23919/CISTI.2017.7975882","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027229012&doi=10.23919%2fCISTI.2017.7975882&partnerID=40&md5=dd65298535927ea44bde27103f44caa4",Conference Paper,Scopus
"Yoo S.","Harnessing virtual reality exergames & physical fitness sensing to create a personalised game & dashboard",2017,"UMAP 2017 - Proceedings of the 25th Conference on User Modeling, Adaptation and Personalization","10.1145/3079628.3079710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026765443&doi=10.1145%2f3079628.3079710&partnerID=40&md5=c13e11bef08a170cde0994821daddb13",Conference Paper,Scopus
"Kremer-Davidson S., Ronen I., Kaplan A., Barnea M.","""Personal social dashboard"": A tool for measuring your social engagement effectiveness in the enterprise",2017,"UMAP 2017 - Proceedings of the 25th Conference on User Modeling, Adaptation and Personalization","10.1145/3079628.3079664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026763565&doi=10.1145%2f3079628.3079664&partnerID=40&md5=bc8308a402ba1b30b20abdda46198244",Conference Paper,Scopus
"Tzoc E., Millard J.","An On-Demand and Cloud-Based Digital Scholarship Applications Dashboard",2017,"Journal of Library Administration","10.1080/01930826.2017.1326267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025097827&doi=10.1080%2f01930826.2017.1326267&partnerID=40&md5=ae563938c5f413fb40a8ee0eef43ce91",Article,Scopus
"Bouchard J., Gaudreault J., Quimper C.-G., Marier P., Brotherton E., Simard N.","Mixed-initiative system for tactical planning allowing real-time constraint insertions",2017,"IFAC-PapersOnLine","10.1016/j.ifacol.2017.08.2376","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044251353&doi=10.1016%2fj.ifacol.2017.08.2376&partnerID=40&md5=97cfa3f7983ff7442e1dbde92f0374a8",Article,Scopus
"Jiang Z., Lamothe J., Benaben F.","A Monitoring Framework of Collaborative Supply Chain for Agility",2017,"IFAC-PapersOnLine","10.1016/j.ifacol.2017.08.2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044843462&doi=10.1016%2fj.ifacol.2017.08.2007&partnerID=40&md5=f709742b7dcf6fd9eeee00320a640f61",Article,Scopus
"Poy A., Van Den Ent M.M.V.X., Sosler S., Hinman A.R., Brown S., Sodha S., Ehlman D.C., Wallace A.S., Mihigo R.","Monitoring Results in Routine Immunization: Development of Routine Immunization Dashboard in Selected African Countries in the Context of the Polio Eradication Endgame Strategic Plan",2017,"Journal of Infectious Diseases","10.1093/infdis/jiw635","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023159095&doi=10.1093%2finfdis%2fjiw635&partnerID=40&md5=05af27405b13323ffde18f59ef00ad50",Article,Scopus
"Patrick R., Greenberg A., Magnus M., Opoku J., Kharfen M., Kuo I.","Development of an HIV Testing Dashboard to Complement the HIV Care Continuum Among MSM, PWID, and Heterosexuals in Washington, DC, 2007-2015",2017,"Journal of acquired immune deficiency syndromes (1999)","10.1097/QAI.0000000000001417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031008805&doi=10.1097%2fQAI.0000000000001417&partnerID=40&md5=95a1ea1f9a9cdfc1dbd018861169fcd2",Article,Scopus
"Mayer B., Weinreich R.","A dashboard for microservice monitoring and management",2017,"Proceedings - 2017 IEEE International Conference on Software Architecture Workshops, ICSAW 2017: Side Track Proceedings","10.1109/ICSAW.2017.44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025678915&doi=10.1109%2fICSAW.2017.44&partnerID=40&md5=0cd137af2b581c3c6b0e0eca710982a5",Conference Paper,Scopus
"Bara A., Oprea S.V., Uta A., Tor O.B., Cebeci M.E.","Informatics solutions for smart trading on wholesale electricity markets containing RES bidders",2017,"ACM International Conference Proceeding Series","10.1145/3134302.3134327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038419025&doi=10.1145%2f3134302.3134327&partnerID=40&md5=cd634ed74876598618efa160b59a5b39",Conference Paper,Scopus
"Mohan L., Potnis D.","Real-time decision-making to serve the unbanked poor in the developing world",2017,"SIGMIS-CPR 2017 - Proceedings of the 2017 ACM SIGMIS Conference on Computers and People Research","10.1145/3084381.3084425","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029695842&doi=10.1145%2f3084381.3084425&partnerID=40&md5=c3d4c880807695ce2947d212d14769b4",Conference Paper,Scopus
"Levin J.C., Hron J.","Automated Reporting of Trainee Metrics Using Electronic Clinical Systems",2017,"Journal of graduate medical education","10.4300/JGME-D-16-00469.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049118875&doi=10.4300%2fJGME-D-16-00469.1&partnerID=40&md5=0cbc920512c865bf6cc0dc59148084b9",Article,Scopus
"Mastellone M.L., Cremiato R., Zaccariello L., Lotito R.","Evaluation of performance indicators applied to a material recovery facility fed by mixed packaging waste",2017,"Waste Management","10.1016/j.wasman.2017.02.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019762751&doi=10.1016%2fj.wasman.2017.02.030&partnerID=40&md5=702bc76690a13ac8a541518c32831869",Article,Scopus
"Leahy I.C., Borczuk R., Ferrari L.R.","Making the pediatric perioperative surgical home come to life by leveraging existing health information technology",2017,"Current Opinion in Anaesthesiology","10.1097/ACO.0000000000000454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015247243&doi=10.1097%2fACO.0000000000000454&partnerID=40&md5=ba13fab9d616723412a58a20589915b6",Review,Scopus
"Beqqal M.E., Azizi M.","Classification of major security attacks against RFID systems",2017,"2017 International Conference on Wireless Technologies, Embedded and Intelligent Systems, WITS 2017","10.1109/WITS.2017.7934622","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021636574&doi=10.1109%2fWITS.2017.7934622&partnerID=40&md5=4b4c0d637e725d428a54902445b6adaf",Conference Paper,Scopus
"Fraser C.A., Grossman T., Fitzmaurice G.","WeBuild: Automatically distributing assembly tasks among collocated workers to improve coordination",2017,"Conference on Human Factors in Computing Systems - Proceedings","10.1145/3025453.3026036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044865208&doi=10.1145%2f3025453.3026036&partnerID=40&md5=7010b9b1ee45b76d1251f7499731ae2d",Conference Paper,Scopus
"Seder C.W., Raymond D.P., Wright C.D., Gaissert H.A., Chang A.C., Clinton S., Becker S., Fernandez F.G., Kozower B.D.","The Society of Thoracic Surgeons General Thoracic Surgery Database 2017 Update on Outcomes and Quality",2017,"Annals of Thoracic Surgery","10.1016/j.athoracsur.2017.02.073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017589365&doi=10.1016%2fj.athoracsur.2017.02.073&partnerID=40&md5=e33c6d5b4c97b57092e32384a1dc4cb6",Article,Scopus
"Hnoohom N., Thanapattherakul T.","Image Problem Classification for Dashboard Cameras",2017,"Proceedings - 12th International Conference on Signal Image Technology and Internet-Based Systems, SITIS 2016","10.1109/SITIS.2016.112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019207984&doi=10.1109%2fSITIS.2016.112&partnerID=40&md5=b7986f7c079213d9c2570f921038ee4b",Conference Paper,Scopus
"Lopez G., Seaton D.T., Ang A., Tingley D., Chuang I.","Google BigQuery for education: Framework for parsing and analyzing edX MOOC data",2017,"L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","10.1145/3051457.3053980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018405542&doi=10.1145%2f3051457.3053980&partnerID=40&md5=a9d6e642567b44bce17eeee1476910cf",Conference Paper,Scopus
"Duckworth M., Leung E., Fuller T., Espares J., Couture B., Chang F., Businger A.C., Collins S., Dalal A., Fladger A., Schnipper J.L., Schnock K.O., Bates D.W., Dykes P.C.","Nurse, patient, and care partner perceptions of a personalized safety plan screensaver",2017,"Journal of Gerontological Nursing","10.3928/00989134-20170313-05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017185434&doi=10.3928%2f00989134-20170313-05&partnerID=40&md5=e099afdbe01e84b8dbd0954b9d7152d9",Article,Scopus
"Sluijter J., Otten M.","Business intelligence (BI) for personalized student dashboards",2017,"ACM International Conference Proceeding Series","10.1145/3027385.3029458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016513564&doi=10.1145%2f3027385.3029458&partnerID=40&md5=a9c23cdd5667e66c523d80556150e95f",Conference Paper,Scopus
"Lane M.","Exploring short-term and long-term time frames in Australian population carrying capacity assessment",2017,"Population and Environment","10.1007/s11111-016-0264-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990847694&doi=10.1007%2fs11111-016-0264-9&partnerID=40&md5=5c09d2a134179b92f6d49d6fa183a050",Article,Scopus
"Denwattana N., Saengsai A.","A framework of Thailand higher education dashboard system",2017,"20th International Computer Science and Engineering Conference: Smart Ubiquitos Computing and Knowledge, ICSEC 2016","10.1109/ICSEC.2016.7859883","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016168729&doi=10.1109%2fICSEC.2016.7859883&partnerID=40&md5=c747051bb106a4fb395c3c7d5664b59e",Conference Paper,Scopus
"Nascimento B.S., Vivacqua A.S., Borges M.R.S.","A flexible architecture for selection and visualization of information in emergency situations",2017,"2016 IEEE International Conference on Systems, Man, and Cybernetics, SMC 2016 - Conference Proceedings","10.1109/SMC.2016.7844746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015738268&doi=10.1109%2fSMC.2016.7844746&partnerID=40&md5=4a9160d412a130612d4d5c2181548e7b",Conference Paper,Scopus
"Belo O., Correia H., Rodrigues P., Barros R.","A personalization system for data visualization platforms",2017,"2016 6th International Conference on Innovative Computing Technology, INTECH 2016","10.1109/INTECH.2016.7845024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015276140&doi=10.1109%2fINTECH.2016.7845024&partnerID=40&md5=01a1373cae181c0fc70c35d0957ea265",Conference Paper,Scopus
"Peral J., Maté A., Marco M.","Application of Data Mining techniques to identify relevant Key Performance Indicators",2017,"Computer Standards and Interfaces","10.1016/j.csi.2016.09.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990862193&doi=10.1016%2fj.csi.2016.09.009&partnerID=40&md5=8d6c6e8b95b4bd0329d034030424e662",Article,Scopus
"Sugandhi R., Srivastava P.K., Sanyasi A.K., Srivastav P., Awasthi L.M., Mattoo S.K.","Open loop control of filament heating power supply for large volume plasma device",2017,"Fusion Engineering and Design","10.1016/j.fusengdes.2016.12.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009072542&doi=10.1016%2fj.fusengdes.2016.12.039&partnerID=40&md5=c644e2eea1ad3bde598e65438d0e9d0f",Article,Scopus
"Luchetti G., Mancini A., Sturari M., Frontoni E., Zingaretti P.","Whistland: An augmented reality crowd-mapping system for civil protection and emergency management",2017,"ISPRS International Journal of Geo-Information","10.3390/ijgi6020041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014954808&doi=10.3390%2fijgi6020041&partnerID=40&md5=edea0f88b57ab00a3314f881c6ae5cb1",Article,Scopus
"MacCalman A.D., Sanchez S.M., McDonald M.L., Goerger S.R., Karl A.T.","Tradespace analysis for multiple performance measures",2017,"Proceedings - Winter Simulation Conference","10.1109/WSC.2016.7822340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014159369&doi=10.1109%2fWSC.2016.7822340&partnerID=40&md5=e08c7569de587d42cfa9da96cd1ac189",Conference Paper,Scopus
"Chadderton C., Foran C.M., Rodriguez G., Gilbert D., Cosper S.D., Linkov I.","Decision support for selection of food waste technologies at military installations",2017,"Journal of Cleaner Production","10.1016/j.jclepro.2016.08.091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994507731&doi=10.1016%2fj.jclepro.2016.08.091&partnerID=40&md5=bb0d7b9b84d57c1d717574c99ca6df0e",Article,Scopus
"Das S., Glatard T., Rogers C., Saigle J., Paiva S., Macintyre L., Safi-Harab M., Rousseau M.-E., Stirling J., Khalili-Mahani N., Macfarlane D., Kostopoulos P., Rioux P., Madjar C., Lecours-Boucher X., Vanamala S., Adalat R., Mohaddes Z., Fonov V.S., Milot S., Leppert I., Degroot C., Durcan T.M., Campbell T., Moreau J., Dagher A., Collins D.L., Karamchandani J., Bar-Or A., Fon E.A., Hoge R., Baillet S., Rouleau G., Evans A.C.","Cyber infrastructure for open science at the montreal neurological institute",2017,"Frontiers in Neuroinformatics","10.3389/fninf.2016.00053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011016241&doi=10.3389%2ffninf.2016.00053&partnerID=40&md5=401675a66017c21c8861d529f961a3c1",Article,Scopus
"Shamsuzzoha A., Ferreira F., Azevedo A., Helo P.","Collaborative smart process monitoring within virtual factory environment: an implementation issue",2017,"International Journal of Computer Integrated Manufacturing","10.1080/0951192X.2016.1185156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967154148&doi=10.1080%2f0951192X.2016.1185156&partnerID=40&md5=068a3dbfddd7057c14beaea7c9fde3aa",Article,Scopus
"Ines D., Sebastien I., Jean-Marie G., Madeth M., Serge G.","Towards adaptive dashboards for learning analytic an approach for conceptual design and implementation",2017,"CSEDU 2017 - Proceedings of the 9th International Conference on Computer Supported Education",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023754982&partnerID=40&md5=d6bc6163669a5244a38718c154a52f7f",Conference Paper,Scopus
"Michel C., Lavoué E., George S., Ji M.","Supporting awareness and self-regulation in project-based learning through personalised dashboards",2017,"International Journal of Technology Enhanced Learning","10.1504/IJTEL.2017.084500","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020847592&doi=10.1504%2fIJTEL.2017.084500&partnerID=40&md5=1410cff189381099e701caaf3766f6c3",Conference Paper,Scopus
"Kintz M., Kochanowski M., Koetter F.","Creating user-specific business process monitoring dashboards with a model-driven approach",2017,"MODELSWARD 2017 - Proceedings of the 5th International Conference on Model-Driven Engineering and Software Development",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046689792&partnerID=40&md5=ebd84322d051a7a0ee9a153d9b21dac9",Conference Paper,Scopus
"Archer E., Barnes G.","Revisiting sensemaking: The case of the Digital Decision Network Application (DigitalDNA)",2017,"International Review of Research in Open and Distance Learning","10.19173/irrodl.v18i5.2551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027436491&doi=10.19173%2firrodl.v18i5.2551&partnerID=40&md5=6f5de06dd15173fdbb2d4d10f7055120",Article,Scopus
"Sukapradja A., Clark J., Hermawan H., Tjiptowiyono S.","Sisi nubi dashboard: Implementation of business intelligence in reservoir modelling & synthesis: Managing big data and streamline the decision making process",2017,"Society of Petroleum Engineers - SPE/IATMI Asia Pacific Oil and Gas Conference and Exhibition 2017",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043585675&partnerID=40&md5=23e40a5c7743cdca67584ca9f262b732",Conference Paper,Scopus
"Santos H., Dantas V., Furtado V., Pinheiro P., McGuinness D.L.","From data to city indicators: A knowledge graph for supporting automatic generation of dashboards",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-319-58451-5_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019635427&doi=10.1007%2f978-3-319-58451-5_7&partnerID=40&md5=fe2bcba97b0becab123fcf6d4799b301",Conference Paper,Scopus
"Shiau J.Y.S., Wang J.H.","A commercial near-zero net energy facility with CHP",2017,"35th West Coast Energy Management Congress, EMC 2017 - Conference Proceedings",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029717064&partnerID=40&md5=a246cc9f29091882f252254ae66578ca",Conference Paper,Scopus
"Vigentini L., Clayphan A., Zhang X., Chitsaz M.","Overcoming the MOOC data deluge with learning analytic dashboards",2017,"Studies in Systems, Decision and Control","10.1007/978-3-319-52977-6_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029004343&doi=10.1007%2f978-3-319-52977-6_6&partnerID=40&md5=a06695697a37580d5449e7256cf13d41",Book Chapter,Scopus
"Mirtaheri S.L., Fatemi S.A., Grandinetti L.","Adaptive load balancing dashboard in dynamic distributed systems",2017,"Supercomputing Frontiers and Innovations","10.14529/jsfi170403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039711079&doi=10.14529%2fjsfi170403&partnerID=40&md5=27d78f6ba91bc6905fcbaba50676fa4c",Article,Scopus
"Datema F.R., Van Zijl F.V.W.J., Van Der Poel E.F., De Jong R.J.B., Lohuis P.J.F.M.","Transparency in functional rhinoplasty: Benefits of routine prospective outcome measurements in a tertiary referral center",2017,"Plastic and Reconstructive Surgery","10.1097/PRS.0000000000003701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031022096&doi=10.1097%2fPRS.0000000000003701&partnerID=40&md5=8fd0d387eb38694fc570ad66868cd023",Article,Scopus
"Braa J., Sahay S., Lewis J., Senyoni W.","Health information systems in Indonesia: Understanding and addressing complexity",2017,"IFIP Advances in Information and Communication Technology","10.1007/978-3-319-59111-7_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020001726&doi=10.1007%2f978-3-319-59111-7_6&partnerID=40&md5=7bb2af816107f09070a1a63d9557ac76",Conference Paper,Scopus
"Popescu P., Mihăescu C., Popescu E., Mocanu M.","Generating Alerts for Drops in Student Activity Levels in a Social Learning Environment",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-319-66733-1_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030094772&doi=10.1007%2f978-3-319-66733-1_7&partnerID=40&md5=1c6fef26d533126643831ea9f5485548",Conference Paper,Scopus
"Brodsky A., Shao G., Krishnamoorthy M., Narayanan A., Menascé D., Ak R.","Analysis and optimization based on reusable knowledge base of process performance models",2017,"International Journal of Advanced Manufacturing Technology","10.1007/s00170-016-8761-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964285349&doi=10.1007%2fs00170-016-8761-7&partnerID=40&md5=a1d885fe810b79cf089ffba92b64cbae",Article,Scopus
"Tupas M.E.A., Tamondong A.M., Magallon B.J.P., Aranas R.K.D., Sempio J.N.H., Bauzon M.D.A.I., Jiao B.J.D., Yu C.E.A.","Data processing and management of Diwata-1 imagery using free and open source software stack",2017,"38th Asian Conference on Remote Sensing - Space Applications: Touching Human Lives, ACRS 2017",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047460326&partnerID=40&md5=163b88b8fc9e008c6e36fe46ba7a8a9d",Conference Paper,Scopus
"Chu A., Phommavong C., Lewis J., Braa J., Senyoni W.","Applying ICT to health information systems (HIS) in low resource settings: Implementing DHIS2 as an integrated health information platform in Lao PDR",2017,"IFIP Advances in Information and Communication Technology","10.1007/978-3-319-59111-7_44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019971502&doi=10.1007%2f978-3-319-59111-7_44&partnerID=40&md5=4ea437dd8867e273b9d24de8588982e0",Conference Paper,Scopus
"Desai S.F., Al-Rabah A.A., Al-Mahmeed F., Al Sabea S.H.","Production optimization and savings achieved in Burgan Digital Oilfield pilot boosts technology expansion initiatives",2017,"Society of Petroleum Engineers - SPE Kuwait Oil and Gas Show and Conference 2017",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041038168&partnerID=40&md5=a7ecc791ec420882497a247eda1269ac",Conference Paper,Scopus
"Yunus Z.M.","Smart strategy to face new norms: Efficient management of medical data, health performance analysis and monitoring",2017,"Society of Petroleum Engineers - SPE Asia Pacific Health, Safety, Security, Environment and Social Responsibility Conference 2017",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050338015&partnerID=40&md5=a96776b80d0e391e087eb31fa2caa6c8",Conference Paper,Scopus
"Solanki M., Mader C., Nagy H., Mückstein M., Hanfi M., David R., Koller A.","Ontology-driven unified governance in software engineering: The PoolParty case study",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-319-58451-5_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019608525&doi=10.1007%2f978-3-319-58451-5_8&partnerID=40&md5=7b846ca299df6e7ffe55160497c6ddbe",Conference Paper,Scopus
"Peidaie M.M., Sadeghimanesh M.","Modelling human resources dashboard with balanced scorecard in customer and financial perspective (case study: Sepah Bank)",2017,"International Journal of Services and Operations Management","10.1504/IJSOM.2017.082892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015948215&doi=10.1504%2fIJSOM.2017.082892&partnerID=40&md5=12817d3f036ba85de5db8bfe7e5a54f0",Article,Scopus
"Wong B.L.W., Gulden J.","Risk map as a library management information dashboard: A case study in adapting a configural display",2017,"Proceedings of the Human Factors and Ergonomics Society","10.1177/1541931213601553","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042488366&doi=10.1177%2f1541931213601553&partnerID=40&md5=be354eeeedb171e519a42c6ebdc5342d",Conference Paper,Scopus
"Fatnani A., Nwachukwu J., Makhmoor F.","Operations management dashboards: A production life cycle management study",2017,"Society of Petroleum Engineers - SPE Symposium: Production Enhancement and Cost Optimisation 2017",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041035291&partnerID=40&md5=8a50c872a592de7cb1476ca85c02ad6f",Conference Paper,Scopus
"Lambotte F.","Making social media activity analytics intelligible for oneself and for others: A “boundary object” approach to dashboard design",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-319-58521-5_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024477778&doi=10.1007%2f978-3-319-58521-5_8&partnerID=40&md5=56c2c545fb7f960604f322c245a9f0e3",Conference Paper,Scopus
"Braşoveanu A.M.P., Sabou M., Scharl A., Hubmann-Haidvogel A., Fischl D.","Visualizing statistical linked knowledge for decision support",2017,"Semantic Web","10.3233/SW-160225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998678700&doi=10.3233%2fSW-160225&partnerID=40&md5=c97768641a1ccc92114ee88d245eed5b",Article,Scopus
"Dalski J., Hüning C., Clemen T.","An output and 3D visualization concept for the MSaaS system MARS",2017,"Simulation Series",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020626415&partnerID=40&md5=d1f0b7518816a1528ae5fd9e86453799",Conference Paper,Scopus
"Rocha S., Bernardino J., Pedrosa I., Ferreira I.","Dashboards and indicators for a BI healthcare system",2017,"Advances in Intelligent Systems and Computing","10.1007/978-3-319-56535-4_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018495125&doi=10.1007%2f978-3-319-56535-4_8&partnerID=40&md5=d74346e9b394ff7234af3fbd238be4e5",Conference Paper,Scopus
"Cox Z.L., Lewis C.M., Lai P., Lenihan D.J.","Validation of an automated electronic algorithm and “dashboard” to identify and characterize decompensated heart failure admissions across a medical center",2017,"American Heart Journal","10.1016/j.ahj.2016.10.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994479812&doi=10.1016%2fj.ahj.2016.10.001&partnerID=40&md5=46a436e090a4d7de7a9dd2409f64f930",Article,Scopus
"Montaser A., Montaser A.","Web-based integrated project controls system",2017,"ISARC 2017 - Proceedings of the 34th International Symposium on Automation and Robotics in Construction",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032330861&partnerID=40&md5=4cacf1bc3ceec5cc2f8b713eed48e62c",Conference Paper,Scopus
"Schmitz M., van Limbeek E., Greller W., Sloep P., Drachsler H.","Opportunities and challenges in using learning analytics in learning design",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-319-66610-5_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029573797&doi=10.1007%2f978-3-319-66610-5_16&partnerID=40&md5=466307a6eda9d951b25f147813417dd1",Conference Paper,Scopus
"Jivet I., Scheffel M., Drachsler H., Specht M.","Awareness is not enough: Pitfalls of learning analytics dashboards in the educational practice",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-319-66610-5_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029587668&doi=10.1007%2f978-3-319-66610-5_7&partnerID=40&md5=520f0178139e3ade3fff9a41e75465d7",Conference Paper,Scopus
